VOLUME,MAX_SPHERE,EQ_SPHERE,MIN_AXIS,MAX_AXIS,SPHERICITY,ASPECT_RATIO,Extent
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.050146807e+00,1.611991954e+00,4.761239065e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.050146807e+00,1.611991954e+00,4.761239065e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.050146807e+00,1.611991954e+00,4.761239065e-01,1.000000000e+00
5.000000000e-01,2.560000000e+02,9.847450218e-01,5.000000000e-01,1.284525681e+00,2.599657722e+02,3.892487377e-01,4.444444444e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.050146807e+00,0.000000000e+00,4.761239065e-01,1.000000000e+00
5.000000000e-01,2.560000000e+02,9.847450218e-01,5.000000000e-01,1.575515034e+00,2.599657722e+02,3.173565400e-01,6.666666667e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.058775594e+00,0.000000000e+00,4.722436016e-01,1.000000000e+00
2.500000000e-01,2.560019531e+02,7.815926418e-01,5.000000000e-01,1.108122457e+00,3.275388475e+02,4.512136695e-01,5.000000000e-01
2.500000000e-01,0.000000000e+00,7.815926418e-01,5.000000000e-01,1.099601351e+00,0.000000000e+00,4.547102451e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.054903244e+00,4.126699402e+02,4.739771188e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.051194405e+00,0.000000000e+00,4.756494115e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.051194405e+00,1.611991954e+00,4.756494115e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.051194405e+00,0.000000000e+00,4.756494115e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.051194405e+00,0.000000000e+00,4.756494115e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.051194405e+00,0.000000000e+00,4.756494115e-01,1.000000000e+00
